name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,Category
chevrolet chevelle malibu,18,8,307.0,130.0,3504,12.0,70,usa,chevrolet
buick skylark 320,15,8,350.0,165.0,3693,11.5,70,usa,buick
plymouth satellite,18,8,318.0,150.0,3436,11.0,70,usa,plymouth
amc rebel sst,16,8,304.0,150.0,3433,12.0,70,usa,amc
ford torino,17,8,302.0,140.0,3449,10.5,70,usa,ford
ford galaxie 500,15,8,429.0,198.0,4341,10.0,70,usa,ford
chevrolet impala,14,8,454.0,220.0,4354,9.0,70,usa,chevrolet
plymouth fury iii,14,8,440.0,215.0,4312,8.5,70,usa,plymouth
pontiac catalina,14,8,455.0,225.0,4425,10.0,70,usa,pontiac
amc ambassador dpl,15,8,390.0,190.0,3850,8.5,70,usa,amc
dodge challenger se,15,8,383.0,170.0,3563,10.0,70,usa,dodge
plymouth 'cuda 340,14,8,340.0,160.0,3609,8.0,70,usa,plymouth
chevrolet monte carlo,15,8,400.0,150.0,3761,9.5,70,usa,chevrolet
buick estate wagon (sw),14,8,455.0,225.0,3086,10.0,70,usa,buick
toyota corona mark ii,24,4,113.0,95.0,2372,15.0,70,japan,toyota
plymouth duster,22,6,198.0,95.0,2833,15.5,70,usa,plymouth
amc hornet,18,6,199.0,97.0,2774,15.5,70,usa,amc
ford maverick,21,6,200.0,85.0,2587,16.0,70,usa,ford
datsun pl510,27,4,97.0,88.0,2130,14.5,70,japan,datsun
volkswagen 1131 deluxe sedan,26,4,97.0,46.0,1835,20.5,70,europe,volkswagen
peugeot 504,25,4,110.0,87.0,2672,17.5,70,europe,peugeot
audi 100 ls,24,4,107.0,90.0,2430,14.5,70,europe,audi
saab 99e,25,4,104.0,95.0,2375,17.5,70,europe,saab
bmw 2002,26,4,121.0,113.0,2234,12.5,70,europe,bmw
amc gremlin,21,6,199.0,90.0,2648,15.0,70,usa,amc
ford f250,10,8,360.0,215.0,4615,14.0,70,usa,ford
chevy c20,10,8,307.0,200.0,4376,15.0,70,usa,chevy
dodge d200,11,8,318.0,210.0,4382,13.5,70,usa,dodge
hi 1200d,9,8,304.0,193.0,4732,18.5,70,usa,hi
datsun pl510,27,4,97.0,88.0,2130,14.5,71,japan,datsun
chevrolet vega 2300,28,4,140.0,90.0,2264,15.5,71,usa,chevrolet
toyota corona,25,4,113.0,95.0,2228,14.0,71,japan,toyota
amc gremlin,19,6,232.0,100.0,2634,13.0,71,usa,amc
plymouth satellite custom,16,6,225.0,105.0,3439,15.5,71,usa,plymouth
chevrolet chevelle malibu,17,6,250.0,100.0,3329,15.5,71,usa,chevrolet
ford torino 500,19,6,250.0,88.0,3302,15.5,71,usa,ford
amc matador,18,6,232.0,100.0,3288,15.5,71,usa,amc
chevrolet impala,14,8,350.0,165.0,4209,12.0,71,usa,chevrolet
pontiac catalina brougham,14,8,400.0,175.0,4464,11.5,71,usa,pontiac
ford galaxie 500,14,8,351.0,153.0,4154,13.5,71,usa,ford
plymouth fury iii,14,8,318.0,150.0,4096,13.0,71,usa,plymouth
dodge monaco (sw),12,8,383.0,180.0,4955,11.5,71,usa,dodge
ford country squire (sw),13,8,400.0,170.0,4746,12.0,71,usa,ford
pontiac safari (sw),13,8,400.0,175.0,5140,12.0,71,usa,pontiac
amc hornet sportabout (sw),18,6,258.0,110.0,2962,13.5,71,usa,amc
chevrolet vega (sw),22,4,140.0,72.0,2408,19.0,71,usa,chevrolet
pontiac firebird,19,6,250.0,100.0,3282,15.0,71,usa,pontiac
ford mustang,18,6,250.0,88.0,3139,14.5,71,usa,ford
mercury capri 2000,23,4,122.0,86.0,2220,14.0,71,usa,mercury
opel 1900,28,4,116.0,90.0,2123,14.0,71,europe,opel
peugeot 304,30,4,79.0,70.0,2074,19.5,71,europe,peugeot
fiat 124b,30,4,88.0,76.0,2065,14.5,71,europe,fiat
toyota corolla 1200,31,4,71.0,65.0,1773,19.0,71,japan,toyota
